Pid,Pn,Name,Salary,Team,Or,Ppg,Projected
504260,D,Jared Cowen,2900,,3,1.4,0.58686
504763,D,Brian Strait,2500,,12,1.0,0.56036
170824,D,Scott Hannan,2500,,24,0.5,0.55836
170835,D,Eric Brewer,2700,,2,1.4,0.54536
735639,D,Seth Helgeson,2500,,11,0.9,0.41886
600110,D,Jamie Oleksiak,2500,,1,1.3,0.40386
728700,D,Andrej Sustr,2500,,2,1.1,0.24536
489724,D,Keith Aulie,2500,,6,0.9,0.21136
554493,D,Martin Marincin,2500,,6,0.9,0.21136
522376,D,Colby Robak,2500,,16,0.4,0.12636
543480,D,Eric Gryba,2500,,3,0.9,0.08686
591919,D,Mark Borowiecki,2500,,3,0.8,-0.01314
448201,D,Chris Butler,3500,,22,0.0,-0.02464
595928,D,Raphael Diaz,2500,,6,0.5,-0.18864
447411,D,Jack Hillen,2500,,18,0.0,-0.19064
170137,D,Ed Jovanovski,2500,,16,0.0,-0.27364
456855,D,Stu Bickel,2500,,13,0.1,-0.29814
593664,D,Matt Donovan,3100,,12,0.0,-0.43964
323580,D,Peter Harrold,2500,,11,0.0,-0.48114
547487,D,Mark Barberio,2500,,2,0.3,-0.55464
615332,D,Jyrki Jokipakka,2500,,1,0.3,-0.59614
731447,G,Troy Grosenick,7200,,22,6.5,0
380901,G,Jonathan Quick,9000,,16,6.1,5.82636
176834,G,Craig Anderson,8400,,17,6.0,5.76786
229367,G,Marc-Andre Fleury,9300,,6,6.4,0
297473,G,Pekka Rinne,8500,,25,5.6,5.69986
736974,G,Antti Raanta,7800,,27,5.3,0
326139,G,Thomas Greiss,8500,,6,6.0,0
521575,G,Robin Lehner,8300,,17,5.5,5.26786
231130,G,Corey Crawford,8000,,27,5.0,5.18286
268156,G,Devan Dubnyk,7300,,19,5.3,0
555795,G,Petr Mrazek,6700,,8,5.6,0
483706,G,Jake Allen,8400,,10,5.4,0
451384,G,Antti Niemi,7700,,22,4.8,4.77536
329657,G,Semyon Varlamov,7400,,24,4.7,0
379958,G,Brian Elliott,8300,,10,5.1,4.57736
382350,G,Steve Mason,8200,,26,4.3,4.44136
483697,G,Braden Holtby,7900,,28,4.2,4.42436
296723,G,Jaroslav Halak,8800,,1,5.3,4.40386
300782,G,Carey Price,8800,,7,5.0,4.35286
489286,G,Dustin Tokarski,6500,,7,5.0,0
446721,G,Ben Bishop,7200,,14,4.7,4.34336
545448,G,Sergei Bobrovsky,6500,,21,4.4,4.33386
386403,G,Jonas Hiller,7000,,13,4.7,0
300802,G,Tuukka Rask,8900,,4,4.8,4.02836
298149,G,Jimmy Howard,7600,,8,4.6,3.99436
178023,G,Ray Emery,6400,,26,3.8,0
386814,G,Michal Neuvirth,6600,,11,4.4,0
172223,G,Cam Ward,6500,,23,3.9,3.91686
170836,G,Roberto Luongo,7000,,8,4.5,3.89436
172139,G,Kari Lehtonen,6700,,20,4.0,3.89236
329644,G,Jonathan Bernier,7100,,12,4.2,3.76036
547403,G,Darcy Kuemper,6800,,3,4.5,3.68686
544763,G,Ben Scrivens,6300,,29,3.0,3.26586
446889,G,James Reimer,6200,,12,3.7,3.26036
269241,G,Cory Schneider,7400,,2,4.0,3.14536
326023,G,Karri Ramo,6200,,13,3.5,3.10186
732732,G,Reto Berra,6200,,24,2.9,2.95836
454231,G,Jhonas Enroth,6200,,11,3.4,2.91886
172862,G,Mike Smith,6400,,19,3.0,2.85086
479871,G,Martin Jones,6400,,16,3.1,0
301765,G,Justin Peters,6200,,28,2.6,0
656273,G,Viktor Fasth,6400,,29,2.5,0
656680,G,Niklas Svedberg,6600,,4,3.5,0
542954,G,Carter Hutton,6200,,25,2.6,0
395751,G,Anton Khudobin,6200,,23,2.3,0
554496,G,Calvin Pickard,6500,,24,2.1,0
296906,G,Curtis McElhinney,6200,,21,2.2,0
507427,G,Chad Johnson,6200,,1,3.0,0
170908,G,Evgeni Nabokov,6200,,14,2.3,0
326034,G,Niklas Backstrom,6400,,3,2.7,0
268148,G,Al Montoya,6200,,8,2.4,0
547322,G,Anders Lindback,6200,,20,0.4,0
612940,G,Nathan Lieuwen,6200,,11,0.0,0
171394,G,Scott Clemmensen,6200,,2,-0.7,0
550764,LW,Jaden Schwartz,6400,,17,4.3,4.06786
301959,LW,James Neal,6300,,22,4.0,3.97536
171258,LW,Scott Hartnell,6000,,18,4.1,3.90936
329662,LW,Nick Foligno,5700,,18,4.1,3.90936
550751,LW,Taylor Hall,6800,,10,4.3,3.77736
228978,LW,Chris Kunitz,5400,,26,3.6,3.74136
392964,LW,Max Pacioretty,7400,,9,4.3,3.73586
229381,LW,Zach Parise,6100,,11,4.2,3.71886
458860,LW,Jamie Benn,6700,,16,3.9,3.62636
447451,LW,Justin Abdelkader,4500,,29,3.3,3.56586
522267,LW,Tomas Tatar,5500,,29,3.1,3.36586
550757,LW,Jeff Skinner,6000,,19,3.4,3.25086
326141,LW,Kris Versteeg,5200,,30,2.9,3.20736
170699,LW,Patrick Marleau,5800,,13,3.6,3.20186
392943,LW,James van Riemsdyk,7000,,1,4.0,3.10386
296050,LW,Clarke MacArthur,5000,,14,3.4,3.04336
607591,LW,Brandon Saad,4800,,30,2.7,3.00736
456700,LW,Mikkel Boedker,4600,,24,2.9,2.95836
600076,LW,Gabriel Landeskog,5600,,20,3.0,2.89236
615345,LW,Ondrej Palat,5000,,15,3.1,2.78486
172301,LW,Michael Cammalleri,5700,,8,3.3,2.69436
172195,LW,Alexander Steen,5100,,17,2.9,2.66786
741463,LW,Andre Burakovsky,3600,,28,2.4,2.62436
659876,LW,Tanner Pearson,2800,,25,2.5,2.59986
329541,LW,Jiri Tlusty,4400,,19,2.7,2.55086
170807,LW,Alex Tanguay,3200,,20,2.5,2.39236
303078,LW,Blake Comeau,3300,,26,2.2,2.34136
594801,LW,Antoine Roussel,3500,,16,2.6,2.32636
522130,LW,Ryan O'Reilly,4200,,20,2.4,2.29236
451466,LW,Nathan Gerbe,3500,,19,2.4,2.25086
522606,LW,Mike Hoffman,4000,,14,2.6,2.24336
414433,LW,Brad Marchand,4200,,12,2.6,2.16036
229377,LW,Dustin Brown,3800,,25,2.0,2.09986
651621,LW,Alex Killorn,4100,,15,2.4,2.08486
610588,LW,Johnny Gaudreau,4100,,6,2.6,1.91136
392970,LW,David Perron,4400,,10,2.4,1.87736
269234,LW,Lauri Korpikoski,2800,,24,1.8,1.85836
554508,LW,Jason Zucker,2900,,11,2.3,1.81886
301772,LW,Bryan Bickell,2500,,30,1.5,1.80736
382055,LW,Jamie McGinn,3300,,20,1.9,1.79236
228966,LW,Milan Michalek,4100,,14,2.1,1.74336
456701,LW,Josh Bailey,3500,,4,2.5,1.72836
324924,LW,Drew Miller,2700,,29,1.4,1.66586
398616,LW,Milan Lucic,3800,,12,2.1,1.66036
229370,LW,Thomas Vanek,4100,,11,2.1,1.61886
